Theme,Level 2,Level 3,Name,Period,Summary,Link (latest),,,,,
"Business, Industry and Trade","Business Activity, Size and Location","Activity, Size and Location","UK Business: Activity, Size and Location - 2013",,,http://www.ons.gov.uk/ons/rel/bus-register/uk-business/2013/stb---uk-business--activity--size-and-location---2013.html,,,,,
"Business, Industry and Trade",Changes to Business,"Business Births, Deaths and Survival Rates","Business Demography, 2012",,,http://www.ons.gov.uk/ons/rel/bus-register/business-demography/2012/stb-business-demography-2012.html,,,,,
"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions,"Mergers and Acquisitions Involving UK Companies, Q1 2014",,,http://www.ons.gov.uk/ons/rel/international-transactions/mergers-and-acquisitions-involving-uk-companies/q1-2014/stb-m-a-q1-2014.html,,,,,
"Business, Industry and Trade",International Trade,,"UK Trade, June 2014",,,http://www.ons.gov.uk/ons/rel/uktrade/uk-trade/june-2014/stb-uk-trade--june-2014.html,,,,,
"Business, Industry and Trade",Construction Industry,,"Output in the Construction Industry, June and Q2 2014",,,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/stb-construction-june-and-q2-2014.html,,,,,
"Business, Industry and Trade",IT and Internet Industry,,E-Commerce and ICT Activity,,,http://www.ons.gov.uk/ons/rel/rdit2/ict-activity-of-uk-businesses/2012/stb-ecom-2012.html,,,,,
"Business, Industry and Trade",Manufacturing and Production Industry,,"Index of Production, June 2014",,,http://www.ons.gov.uk/ons/rel/iop/index-of-production/june-2014/stb-iop-jun-2014.html,,,,,
"Business, Industry and Trade",Retail Industry,,"Retail Sales, June 2014",,,http://www.ons.gov.uk/ons/rel/rsi/retail-sales/june-2014/stb-rsi-june-2014.html,,,,,
"Business, Industry and Trade",Tourism Industry,,"Overseas Travel and Tourism, Provisional Results for May 2014",,,http://www.ons.gov.uk/ons/rel/ott/overseas-travel-and-tourism---monthly-release/may-2014/stb-monthly-overseas-travel-and-tourism--provisional-results-for-may-2014.html,,,,,
,,,,,,,,,,,
Economy,Economic Output and Productivity,,"Quarterly National Accounts, Q1 2014",,,http://www.ons.gov.uk/ons/rel/naa2/quarterly-national-accounts/q1-2014/stb-quarterly-national-accounts--q1-2014.html,,,,,
Economy,Environmental Accounts,,"UK Environmental Accounts, 2014",,,http://www.ons.gov.uk/ons/rel/environmental/uk-environmental-accounts/2014/stb-stat-bulletin.html,,,,,
Economy,"Government, Public Sector and Taxes",Public Sector Finance,"Public Sector Finances, June 2014",,,http://www.ons.gov.uk/ons/rel/psa/public-sector-finances/june-2014/stb---june-2014.html,,,,,
Economy,"Government, Public Sector and Taxes",Research and Development Expenditure,"UK Gross Domestic Expenditure on Research and Development, 2012",,,http://www.ons.gov.uk/ons/rel/rdit1/gross-domestic-expenditure-on-research-and-development/2012/stb-gerd-2012.html,,,,,
Economy,Gross Domestic Product (GDP),,"Gross Domestic Product Preliminary Estimate, Q2 2014",,,http://www.ons.gov.uk/ons/rel/gva/gross-domestic-product--preliminary-estimate/q2-2014/stb-gdp-preliminary-estimate--q2-2014.html,,,,,
Economy,Gross Value Added (GVA),,"Regional Gross Value Added (Income Approach), December 2013",,,http://www.ons.gov.uk/ons/rel/regional-accounts/regional-gross-value-added--income-approach-/december-2013/index.html,,,,,
Economy,Inflation and Price Indices,,Consumer Price Inflation, June 2014,"CPI, CPIH, RPI and RPIJ inflation price indices for September 2014 - brief description and analysis",http://www.ons.gov.uk/ons/rel/cpi/consumer-price-indices/june-2014/stb---consumer-price-indices---june-2014.html,,,,,
Economy,Inflation and Price Indices,,House Price index, August 2014,Mix-adjusted average house prices and house price indices for the UK and its component countries and regions,,,,,,
Economy,"Investments, Pensions and Trusts",,"Foreign Direct Investment Involving UK Companies, 2012 (MA4)",,,http://www.ons.gov.uk/ons/rel/fdi/foreign-direct-investment/2012-ma4/stb-fdi-ma4-2012.html,,,,,
Economy,National Accounts,,"Balance of Payments, Q1 2014",,,http://www.ons.gov.uk/ons/rel/bop/balance-of-payments/q1-2014/stb-bop-q1-2014.html,,,,,
Economy,Regional Accounts,,"Regional Gross Disposable Household Income (GDHI), 2012",,,http://www.ons.gov.uk/ons/rel/regional-accounts/regional-household-income/spring-2014/stb-regional-gdhi-2012.html,,,,,
,,,,,,,,,,,
Employment and Labour Market,People in Work,Earnings and Working Hours,"UK Labour Market, July 2014",,,http://www.ons.gov.uk/ons/rel/lms/labour-market-statistics/july-2014/statistical-bulletin.html,,,,,
Employment and Labour Market,People in Work,Earnings and Working Hours,"Annual Survey of Hours and Earnings, 2013 Provisional Results",,,http://www.ons.gov.uk/ons/rel/ashe/annual-survey-of-hours-and-earnings/2013-provisional-results/stb-ashe-statistical-bulletin-2013.html,,,,,
Employment and Labour Market,People in Work,Employment and Employee Types,"UK Labour Market, July 2014",,,http://www.ons.gov.uk/ons/rel/lms/labour-market-statistics/july-2014/statistical-bulletin.html,,,,,
Employment and Labour Market,People in Work,Labour Productivity,"Labour Productivity, Q1 2014 ",,,http://www.ons.gov.uk/ons/rel/productivity/labour-productivity/q1-2014/stbq114.html,,,,,
Employment and Labour Market,People in Work,Workplace Disputes and Working Conditions,"UK Labour Market, July 2014",,,http://www.ons.gov.uk/ons/rel/lms/labour-market-statistics/july-2014/statistical-bulletin.html,,,,,
Employment and Labour Market,People in Work,Workplace Pensions,"Annual Survey of Hours and Earnings Pension Tables, 2013 Provisional Results",,,http://www.ons.gov.uk/ons/rel/ashe/annual-survey-of-hours-and-earnings-pension-tables/2013-provisional-results/index.html,,,,,
Employment and Labour Market,People not in Work,,UK Labour Market, July 2014,"Statistics including employment, unemployment and economic inactivity for the United Kingdom",http://www.ons.gov.uk/ons/rel/lms/labour-market-statistics/july-2014/statistical-bulletin.html,,,,,
Employment and Labour Market,People not in Work,,"Young People Not in Education, Employment or Training (NEET)",Aug-14,Statistics and analysis based on data from the Labour Force Survey,,,,,,
Employment and Labour Market,Public Sector Personnel,,"Public Sector Employment, Q1 2014",,,http://www.ons.gov.uk/ons/rel/pse/public-sector-employment/q1-2014/index.html,,,,,
,,,,,,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Adoption,"Adoptions in England and Wales, 2012",,,http://www.ons.gov.uk/ons/rel/vsob1/adoptions-in-england-and-wales/2012/stb-adoptions-in-england-and-wales--2012-.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Ageing,"Estimates of the Very Old (including Centenarians) for the United Kingdom, 2002-2012",,,http://www.ons.gov.uk/ons/rel/mortality-ageing/estimates-of-the-very-old--including-centenarians-/2002---2012--united-kingdom/stb-2002-2012-uk.html#tab-Introduction,,,,,
"People, Population and Community","Births, Deaths and Marriages",Conception and Fertility Rates,"Conceptions in England and Wales, 2012",,,http://www.ons.gov.uk/ons/rel/vsob1/conception-statistics--england-and-wales/2012/2012-conceptions-statistical-bulletin.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Conception and Fertility Rates,"Cohort Fertility, 2012",,,http://www.ons.gov.uk/ons/rel/fertility-analysis/cohort-fertility--england-and-wales/2012/cohort-fertility-2012.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Deaths,"Deaths Registered in England and Wales, 2013",,,http://www.ons.gov.uk/ons/rel/vsob1/death-reg-sum-tables/2013/sb-deaths-first-release--2013.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Divorce,"Divorces in England and Wales, 2012",,,http://www.ons.gov.uk/ons/rel/vsob1/divorces-in-england-and-wales/2012/stb-divorces-2012.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Families,"Families and Households, 2013",,,http://www.ons.gov.uk/ons/rel/family-demography/families-and-households/2013/stb-families.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Life Expectancies,"Life Expectancy at Birth and at Age 65 by Local Areas in the United Kingdom, 2006-08 to 2010-12",,,http://www.ons.gov.uk/ons/rel/subnational-health4/life-expec-at-birth-age-65/2006-08-to-2010-12/stb-life-expectancy-at-birth-2006-08-to-2010-12.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Live Births,"Births in England and Wales, 2013",,,http://www.ons.gov.uk/ons/rel/vsob1/birth-summary-tables--england-and-wales/2013/stb-births-in-england-and-wales-2013.html,,,,,
"People, Population and Community","Births, Deaths and Marriages","Marriage, Cohabitation and Civil Partnerships",Marriages in England and Wales ,,,http://www.ons.gov.uk/ons/rel/vsob1/marriages-in-england-and-wales--provisional-/2012/stb-marriages-in-england-and-wales--provisional---2011.html,,,,,
"People, Population and Community","Births, Deaths and Marriages","Marriage, Cohabitation and Civil Partnerships",Civil Partnerships in the UK,,,http://www.ons.gov.uk/ons/rel/vsob2/civil-partnership-statistics--united-kingdom/2012/stb-civil-partnerships-2012.html,,,,,
"People, Population and Community","Births, Deaths and Marriages",Maternities,No bulletin available,,,N/A,,,,,
"People, Population and Community","Births, Deaths and Marriages",Stillbirths,"Births in England and Wales, 2013",,,http://www.ons.gov.uk/ons/rel/vsob1/birth-summary-tables--england-and-wales/2013/stb-births-in-england-and-wales-2013.html,,,,,
"People, Population and Community",Community,Cohesion and Participation,No bulletin available,,,,,,,,
"People, Population and Community",Community,Neighbourhoods,No bulletin available,,,,,,,,
"People, Population and Community",Crime and Justice,,"Crime in England and Wales, Year Ending March 2014",,,http://www.ons.gov.uk/ons/rel/crime-stats/crime-statistics/period-ending-march-2014/stb-crime-stats.html,,,,,
"People, Population and Community",Cultural Identity,Ethnicity,"2011 Census: Key Statistics for England and Wales, March 2011",,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-for-local-authorities-in-england-and-wales/stb-2011-census-key-statistics-for-england-and-wales.html,,,,,
"People, Population and Community",Cultural Identity,Language,"2011 Census: Quick Statistics for England and Wales, March 2011",,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-and-quick-statistics-for-wards-and-output-areas-in-england-and-wales/STB-2011-census--quick-statistics-for-england-and-wales--march-2011.html,,,,,
"People, Population and Community",Cultural Identity,Religion,"2011 Census: Key Statistics for England and Wales, March 2011",,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-for-local-authorities-in-england-and-wales/stb-2011-census-key-statistics-for-england-and-wales.html,,,,,
"People, Population and Community",Cultural Identity,Sexuality,Integrated Household Survey April 2011 to March 2012: Experimental Statistics,,,http://www.ons.gov.uk/ons/rel/integrated-household-survey/integrated-household-survey/april-2011-to-march-2012/stb-integrated-household-survey-april-2011-to-march-2012.html,,,,,
"People, Population and Community",Elections,Electoral Registration,"Electoral Statistics for UK, 2013",,,http://www.ons.gov.uk/ons/rel/pop-estimate/electoral-statistics-for-uk/2013/stb---2013-electoral-statistics.html,,,,,
"People, Population and Community",Health and Social Care,Causes of Death,"Deaths Registered in England and Wales, 2013",,,http://www.ons.gov.uk/ons/rel/vsob1/death-reg-sum-tables/2013/sb-deaths-first-release--2013.html,,,,,
"People, Population and Community",Health and Social Care,Conditions and Diseases,"Cancer Statistics Registrations, England (Series MB1), No. 43, 2012",,,http://www.ons.gov.uk/ons/rel/vsob1/cancer-statistics-registrations--england--series-mb1-/no--43--2012/stb-cancer-registrations-2012.html,,,,,
"People, Population and Community",Health and Social Care,Disability,Key Statistics and Quick Statistics for local authorities in the United Kingdom,,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-and-quick-statistics-for-local-authorities-in-the-united-kingdom---part-1/stb-key-statistics-for-local-authorities-in-the-uk.html,,,,,
"People, Population and Community",Health and Social Care,"Drug use, Alcohol and Smoking","Deaths Related to Drug Poisoning in England and Wales, 2012",,,http://www.ons.gov.uk/ons/rel/subnational-health3/deaths-related-to-drug-poisoning/2012/stb---deaths-related-to-drug-poisoning-2012.html,,,,,
"People, Population and Community",Health and Social Care,"Drug use, Alcohol and Smoking",Alcohol-related deaths in the United Kingdom,,,http://www.ons.gov.uk/ons/rel/subnational-health4/alcohol-related-deaths-in-the-united-kingdom/2012/stb---alcohol-related-deaths-in-the-united-kingdom--registered-in-2012.html,,,,,
"People, Population and Community",Health and Social Care,Health and Life Expectancies,,,,,,,,,
"People, Population and Community",Health and Social Care,Health and Well-being,,,,,,,,,
"People, Population and Community",Household Characteristics,Home Internet and Social Media Usage,"Internet Access Quarterly Update, Q1 2014",,,http://www.ons.gov.uk/ons/rel/rdit2/internet-access-quarterly-update/q1-2014/index.html,,,,,
"People, Population and Community",Housing,,House Price Index,,,http://www.ons.gov.uk/ons/rel/hpi/house-price-index/may-2014/stb-may-2014.html,,,,,
"People, Population and Community",Leisure and Tourism,,"Overseas Travel and Tourism, Provisional Results for May 2014",,,http://www.ons.gov.uk/ons/rel/ott/overseas-travel-and-tourism---monthly-release/may-2014/stb-monthly-overseas-travel-and-tourism--provisional-results-for-may-2014.html,,,,,
"People, Population and Community",Personal and Household Finances,Debt,No bulletin available,,,,,,,,
"People, Population and Community",Personal and Household Finances,Expenditure,No bulletin available,,,,,,,,
"People, Population and Community",Personal and Household Finances,Income and Wealth,"Wealth and Income, 2010-12",,,http://www.ons.gov.uk/ons/rel/was/wealth-in-great-britain-wave-3/wealth-and-income--2010-12/stb--wealth-and-income--2010-12.html,,,,,
"People, Population and Community",Population and Migration,International Migration,"Migration Statistics Quarterly Report, May 2014",,,http://www.ons.gov.uk/ons/rel/migration1/migration-statistics-quarterly-report/may-2014/index.html,,,,,
"People, Population and Community",Population and Migration,Migration within the UK,"Internal Migration, England and Wales, Year Ending June 2013",,,http://www.ons.gov.uk/ons/rel/migration1/internal-migration-by-local-authorities-in-england-and-wales/year-ending-june-2013/stb---internal-migration-june-2013.html,,,,,
"People, Population and Community",Population and Migration,Population Estimates,Annual Mid-year Population Estimates,2013,"Detailed analysis and further information on lower and middle layer Super Output Areas, Wards and other geographies",http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/stb---mid-2013-uk-population-estimates.html,,,,,
"People, Population and Community",Population and Migration,Population Estimates,Estimates of the Very Old (including Centenarians),2002 to 2013,Estimates for those aged 90 and over by sex and single year of age (90 to 104) and the 105 and over age group,,,,,,
"People, Population and Community",Population and Migration,Population Projections,"National Population Projections, 2012-based",,,http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-projections/stb-2012-based-npp-principal-and-key-variants.html,,,,,
"People, Population and Community",Well-being,,"Personal Well-being Across the UK, 2012/13",,,http://www.ons.gov.uk/ons/rel/wellbeing/measuring-national-well-being/personal-well-being-across-the-uk--2012-13/sb---personal-well-being-across-the-uk--2012-13.html,,,,,