,AIHA,AIHD,AIHE,CBAQ,CBAS,CBAU,CBAW,CBAY,CBAZ,CBBA,CBBB,CBBI,CBBJ,CBBK,CBBL,CBBM,CBBT,CBBU,CBBV,CBBW,CBBX,CBBY,CBBZ,CBCA,CBCB,CBCC,CBCD,CBCE,CBCF,CBCG,CBCH,CBCI,CBCJ,CBCQ,CBCR,CBCS,CBCT,CBCU,CBDB,CBDC,CBDD,CBHZ,CBIA,CBIB,CBIC,CBID,CBIE,CBIF,CBIG,CBIH,CBII,DUCM,DWVH,DWVL,DWVW,DWVX,DWVY,DWVZ,DWWA,HCI7,HCI8,HCI9,HCJ2,HCJ3,HCJ4,HCJ5,HCJ6,HCJ7,HCJ8,HCJ9,HCK2,HCK3,HCK4,HCK5,HCK6,HCK7,HCK8,HCK9,HCL2,HCL3,HCL4,HCL5,HCL6,HCL7,HCL8,HCL9,HCM2,HCM3,HCM4,HCM5,HCM6,HCM7,HCM8,HCM9,HCN2,HCN3,HCN4,HCN5,HCN6,HCN7,HCN8,HCN9,HCO2,HCO3,HCO4,HCO5,HCO6,HCO7,HCO8,HCO9,HCP2,HCP3,HCP4,HCP5,HCP6,HIKB,HIKC
"1974 Q3",101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974 Q4",84,114,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,367,137,284,63,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975 Q1",56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975 Q2",99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975 Q3",88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975 Q4",72,93,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,200,115,113,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976 Q1",93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976 Q2",93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976 Q3",95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976 Q4",72,120,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,242,111,240,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977 Q1",101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977 Q2",112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977 Q3",144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977 Q4",124,304,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,372,109,433,79,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978 Q1",137,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978 Q2",131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978 Q3",141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978 Q4",158,463,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,441,126,505,149,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979 Q1",134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979 Q2",136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979 Q3",124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979 Q4",140,515,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656,417,117,780,153,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980 Q1",138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980 Q2",99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980 Q3",116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980 Q4",116,669,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,368,101,623,137,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981 Q1",120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981 Q2",110,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981 Q3",102,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981 Q4",120,338,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,327,125,545,230,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982 Q1",128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982 Q2",108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982 Q3",108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982 Q4",119,701,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206,299,164,641,642,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983 Q1",95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983 Q2",111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983 Q3",93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983 Q4",148,1261,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343,305,142,689,337,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984 Q1",141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984 Q2",153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984 Q3",97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984 Q4",177,1838,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5474,398,170,2120,826,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985 Q1",104,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985 Q2",100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985 Q3",148,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985 Q4",122,3708,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7090,340,134,2473,384,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986 Q1",134,1747,22,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,,,,,,,,,,,2139,102,32,220,151,17,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986 Q2",147,4193,1842,,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,,,,,,,6830,113,34,598,197,12,61,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986 Q3",241,1348,560,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,2733,185,56,488,337,30,49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986 Q4",320,1473,124,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,3668,221,99,363,1708,56,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987 Q1",301,2749,621,66,31,15,2,,,,,1699,,,,,431,,,,,,,,,,,,,,,,,469,,,,,683,,,,,,,,,,,,,4143,226,75,607,165,19,66,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809,1334
"1987 Q2",382,3247,48,97,26,11,4,,,,,1717,,,,,1401,,,,,,,,,,,,,,,,,211,,,,,267,,,,,,,,,,,,,5015,302,80,1162,559,34,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,868
"1987 Q3",456,2292,43,132,29,21,5,,,,,5144,,,,,1630,,,,,,,,,,,,,,,,,739,,,,,71,,,,,,,,,,,,,3613,362,94,619,659,35,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2527,1086
"1987 Q4",389,1686,141,136,32,14,4,,,,,3498,,,,,499,,,,,,,,,,,,,,,,,1282,,,,,177,,,,,,,,,,,,,3768,298,91,804,1136,52,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388,1379
"1988 Q1",339,1423,290,140,34,16,6,,,,,2240,,,,,379,,,,,,,,,,,,,,,,,599,,,,,139,,,,,,,,,,,,,6263,235,104,3788,762,73,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208,1055
"1988 Q2",331,1085,411,178,28,25,3,,,,,4515,,,,,635,,,,,,,,,,,,,,,,,976,,,,,331,,,,,,,,,,,,,3077,250,81,804,776,51,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,1211
"1988 Q3",464,1383,262,164,25,26,2,,,,,2439,,,,,989,,,,,,,,,,,,,,,,,3449,,,,,27,,,,,,,,,,,,,8433,360,104,4596,2193,80,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5946,2487
"1988 Q4",365,1102,890,166,25,32,5,,,,,8106,,,,,1877,,,,,,,,,,,,,,,,,666,,,,,171,,,,,,,,,,,,,5066,278,87,2384,690,61,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4287,779
"1989 Q1",279,602,343,171,29,24,3,,,,,5553,,,,,593,,,,,,,,,,,,,,,,,1453,,,,,66,,,,,,,,,,,,,3603,184,95,1806,853,74,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,1008
"1989 Q2",288,678,38,183,36,44,7,,,,,6146,,,,,1013,,,,,,,,,,,,,,,,,2457,,,,,1431,,,,,,,,,,,,,3022,187,101,799,1506,76,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,1541
"1989 Q3",359,1582,594,193,47,52,2,,,,,8431,,,,,1608,,,,,,,,,,,,,,,,,1898,,,,,662,,,,,,,,,,,,,13257,252,107,10102,979,84,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12149,1108
"1989 Q4",411,658,399,134,22,48,5,,,,,2492,,,,,445,,,,,,,,,,,,,,,,,6322,,,,,858,,,,,,,,,,,,,7368,273,138,4342,1969,86,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5348,2020
"1990 Q1",230,544,53,138,36,46,3,,,,,2752,,,,,1989,,,,,,,,,,,,,,,,,5095,,,,,264,,,,,,,,,,,,,2502,133,97,1108,798,76,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559,943
"1990 Q2",181,121,19,121,21,21,6,,,,,2660,,,,,1223,,,,,,,,,,,,,,,,,1247,,,,,760,,,,,,,,,,,,,1722,124,57,1176,406,92,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,417
"1990 Q3",202,635,297,173,31,49,6,,,,,3251,,,,,1511,,,,,,,,,,,,,,,,,2702,,,,,127,,,,,,,,,,,,,2438,100,102,683,823,62,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,938
"1990 Q4",166,233,24,154,46,27,4,,,,,4289,,,,,1452,,,,,,,,,,,,,,,,,1914,,,,,49,,,,,,,,,,,,,1667,80,86,764,644,84,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,643
"1991 Q1",102,701,30,127,35,30,2,,,,,1859,,,,,340,,,,,,,,,,,,,,,,,2167,,,,,47,,,,,,,,,,,,,3468,60,42,1974,763,79,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,767
"1991 Q2",162,248,24,113,43,41,5,,,,,2361,,,,,459,,,,,,,,,,,,,,,,,1952,,,,,318,,,,,,,,,,,,,1526,88,74,498,755,82,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,794
"1991 Q3",115,341,5,162,42,41,3,,,,,3191,,,,,539,,,,,,,,,,,,,,,,,1581,,,,,536,,,,,,,,,,,,,1002,73,42,440,216,65,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,240
"1991 Q4",127,1744,62,148,37,34,7,,,,,2277,,,,,419,,,,,,,,,,,,,,,,,967,,,,,126,,,,,,,,,,,,,4438,71,56,1570,1062,59,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294,1144
"1992 Q1",119,990,9,191,46,48,5,,,,,1807,,,,,634,,,,,,,,,,,,,,,,,889,,,,,556,,,,,,,,,,,,,2162,67,52,297,866,54,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281,881
"1992 Q2",111,575,5,146,52,43,3,,,,,2141,,,,,1031,,,,,,,,,,,,,,,,,642,,,,,113,,,,,,,,,,,,,1795,70,41,875,340,68,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,352
"1992 Q3",96,96,22,167,21,47,9,,,,,1369,,,,,783,,,,,,,,,,,,,,,,,1166,,,,,377,,,,,,,,,,,,,545,58,38,211,216,78,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,236
"1992 Q4",106,461,11,175,100,72,12,,,,,1947,,,,,1088,,,,,,,,,,,,,,,,,1442,,,,,361,,,,,,,,,,,,,1439,37,69,645,322,67,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,364
"1993 Q1",103,144,62,139,65,63,16,,,,,1582,,,,,1106,,,,,,,,,,,,,,,,,1082,,,,,343,,,,,,,,,,,,,1615,52,51,294,1115,87,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,1189
"1993 Q2",139,283,19,149,51,52,13,,,,,3945,,,,,1053,,,,,,,,,,,,,,,,,1613,,,,,158,,,,,,,,,,,,,1367,81,58,690,376,78,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,440
"1993 Q3",120,386,114,90,27,68,19,,,,,1541,,,,,1246,,,,,,,,,,,,,,,,,1441,,,,,272,,,,,,,,,,,,,1239,81,39,231,508,60,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,524
"1993 Q4",164,349,16,143,78,84,25,,,,,2145,,,,,1374,,,,,,,,,,,,,,,,,1051,,,,,338,,,,,,,,,,,,,2842,123,41,584,1892,87,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,1925
"1994 Q1",182,1434,8,112,48,65,15,,,,,1204,,,,,1707,,,,,,,,,,,,,,,,,1953,,,,,747,,,,,,,,,,,,,2717,106,76,981,294,47,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,352
"1994 Q2",185,444,53,115,25,44,11,,,,,4903,,,,,952,,,,,,,,,,,,,,,,,651,,,,,289,,,,,,,,,,,,,1652,134,51,736,419,70,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,522
"1994 Q3",157,645,10,88,36,45,6,,,,,3535,,,,,971,,,,,,,,,,,,,,,,,1176,,,,,328,,,,,,,,,,,,,2012,117,40,855,502,68,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,529
"1994 Q4",150,300,73,107,40,48,6,,,,,5522,,,,,2103,,,,,,,,,,,,,,,,,1433,,,,,112,,,,,,,,,,,,,1888,108,42,491,1024,80,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,1123
"1995 Q1",139,3324,21,99,35,30,6,,,,,4075,,,,,1592,,,,,,,,,,,,,,,,,2423,,,,,84,,,,,,,,,,,,,11350,89,50,7089,916,71,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10328,1022
"1995 Q2",114,760,23,102,22,34,2,,,,,3544,,,,,580,,,,,,,,,,,,,,,,,1326,,,,,219,,,,,,,,,,,,,2236,63,51,703,750,65,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,812
"1995 Q3",110,521,224,75,12,25,5,,,,,1924,,,,,203,,,,,,,,,,,,,,,,,3469,,,,,182,,,,,,,,,,,,,9489,65,45,7383,1361,93,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8052,1437
"1995 Q4",142,2012,191,89,48,42,8,,,,,2424,,,,,3614,,,,,,,,,,,,,,,,,5599,,,,,1026,,,,,,,,,,,,,9525,82,60,4627,2695,76,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5843,3682
"1996 Q1",138,3584,25,101,29,26,1,,,,,1961,,,,,1322,,,,,,,,,,,,,,,,,1724,,,,,2,,,,,,,,,,,,,9294,69,69,3573,2112,61,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6979,2315
"1996 Q2",148,2251,92,113,38,34,4,,,,,4539,,,,,2658,,,,,,,,,,,,,,,,,5492,,,,,542,,,,,,,,,,,,,7417,75,73,2402,2672,68,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,1756
"1996 Q3",148,3881,99,100,44,34,6,,,,,2937,,,,,2912,,,,,,,,,,,,,,,,,1020,,,,,264,,,,,,,,,,,,,9100,85,63,3650,1470,56,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7534,1566
"1996 Q4",150,1210,49,128,67,39,7,,,,,3940,,,,,915,,,,,,,,,,,,,,,,,1277,,,,,225,,,,,,,,,,,,,4931,107,43,1942,1730,74,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3174,1757
"1997 Q1",115,500,70,110,43,37,3,,,,,3869,,,,,1732,,,,,,,,,,,,,,,,,6350,,,,,119,,,,,,,,,,,,,2310,85,30,667,1073,75,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,1166
"1997 Q2",120,1290,68,99,36,44,6,,,,,2616,,,,,1385,,,,,,,,,,,,,,,,,3201,,,,,140,,,,,,,,,,,,,3501,94,26,1716,427,61,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046,455
"1997 Q3",142,995,65,118,48,47,8,,,,,6411,,,,,2001,,,,,,,,,,,,,,,,,2378,,,,,358,,,,,,,,,,,,,4288,109,33,2943,285,75,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920,368
"1997 Q4",129,12798,120,137,49,65,11,,,,,6280,,,,,2230,,,,,,,,,,,,,,,,,3788,,,,,861,,,,,,,,,,,,,16730,96,33,1525,2287,23,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14343,2387
"1998 Q1",140,1156,113,132,55,49,11,,,,,4842,,,,,2055,,,,,,,,,,,,,,,,,8976,,,,,566,,,,,,,,,,,,,4790,103,37,1760,1761,74,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012,1779
