,ABMI,ABMM,L2KK,L3BA,L3ZY,IHYP,IHYQ,IHYR,KI8L,KI8M,KI8N,KI8O,KI8P,KI8Q,KIH8,KIH9,KII2,KLH7,KLH8,KLH9,L2KL,L2KQ,L2KR,L2KX,L2MW,L2N2,L2N8,L2NC,L2PZ,L3BB,L3BG,L3BH,L3BN,L3DM,L3DQ,L3DW,L3E2,L3GP,L3ZZ,L426,L427,L42D,L44C,L44G,L44M,L44Q,L47F,YBEZ
"1948",283297,249042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
"1949",293855,259272,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8
"1950",304395,268266,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
"1951",313841,275716,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
"1952",314865,277401,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
"1953",327814,288840,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1
"1954",342588,302490,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1
"1955",355858,313579,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
"1956",360417,318271,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
"1957",367645,325379,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
"1958",370172,326650,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
"1959",387526,341105,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1
"1960",409973,361965,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6
"1961",421310,372510,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4
"1962",427475,378794,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8
"1963",447496,397839,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1
"1964",473796,421631,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9
"1965",486075,434255,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7
"1966",497032,443524,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
"1967",511027,453781,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
"1968",534375,475005,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
"1969",547193,486998,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
"1970",561174,498906,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
"1971",574278,511621,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7
"1972",596452,531602,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1
"1973",640867,573242,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1
"1974",633681,568737,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7
"1975",630450,566484,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4
"1976",646638,579480,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5
"1977",662257,592633,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6
"1978",683982,608668,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
"1979",703412,622875,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3
"1980",689320,610561,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4
"1981",680652,604356,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8
"1982",695937,620060,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8
"1983",722617,643366,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6
"1984",743885,660425,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1
"1985",772661,687371,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
"1986",805910,715562,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2
"1987",847454,751614,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"1988",894656,792441,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2
"1989",917871,813744,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8
"1990",934589,831841,62.6,,,1.8,,,,42,,46.8,,63.7,,,,,,,98.5,100.3,126.1,101,70,75.5,92.9,53.2,64.1,,,,,,,,,,,,,,,,,,,62.9
"1991",922510,824813,62.1,,,-1.3,,,,40.9,,46.5,,66.1,,,,,,,102.8,97,129.4,96.1,72.7,73.7,86,53.1,62,,,,,,,,,,,,,,,,,,,62.1
"1992",934454,837850,63.1,,,1.3,,,,42.3,,46.6,,68.4,,,,,,,107,97.3,132,96,74.2,74.5,83.1,54.4,64.7,,,,,,,,,,,,,,,,,,,62.9
"1993",967071,868530,65.4,,,3.5,,,,44.3,,48.7,,70.6,,,,,,,98.9,99.4,139.2,97.3,77.1,77.8,82.1,57.1,70.1,,,,,,,,,,,,,,,,,,,65.1
"1994",1014974,910125,68.5,,,5,,,,47.4,,51.4,,72.6,,,,,,,98.1,104.8,162.7,102.1,76.5,81.2,82.1,60,74.5,,,,,,,,,,,,,,,,,,,68.3
"1995",1050837,939949,70.8,,,3.5,,,,50.5,,53.9,,74.4,,,,,,,96.5,106.6,167,103.6,78.2,83.3,83,62.5,76.9,,,,,,,,,,,,,,,,,,,70.7
"1996",1087525,972276,73.2,,,3.5,,,,53.4,,57.3,,75.9,,,,,,,94.1,108.1,167.7,104.8,82.1,85.1,85.9,65.2,79.6,,,,,,,,,,,,,,,,,,,73.2
"1997",1134837,1014448,76.4,,,4.4,,,,58.5,,61.9,,77.1,,,,74.2,4.5,,97.5,109.6,164.1,106.8,82.4,86.6,88.3,68.8,82.7,,,,,,,,,,,,,,,,,,,76.4
"1998",1175317,1053083,79.3,3.8,,3.6,,,8.3,63.4,6.9,66.2,2.2,78.8,,,,77.1,3.8,,99,110.9,168.5,107.4,85.1,92.5,89.6,72.2,85.1,1.6,1.2,2.7,0.5,3.3,6.9,1.4,5,2.9,,,,,,,,,,79.1
"1999",1209852,1085239,81.7,3,,2.9,,,11,70.4,3.7,68.6,1.8,80.2,,,,79.3,2.9,,102.8,112.2,176.1,107.9,89,93.2,90.8,75,85.8,3.8,1.2,4.5,0.5,4.5,0.7,1.3,3.8,0.8,,,,,,,,,,81.4
"2000",1262629,1133951,85.3,4.4,,4.4,,,14.7,80.7,6.5,73.1,3.6,83.1,,,,83.2,4.9,,101.2,114.2,170.4,110.3,93,94.7,91.5,79.2,85.4,-1.6,1.8,-3.2,2.1,4.5,1.6,0.8,5.6,-0.5,,,,,,,,,,85
"2001",1290216,1154616,87,1.9,,2.2,,,3.9,83.8,4,76,1.1,84,,,,85.1,2.2,,93.2,112.4,162.3,108.4,96.2,95.8,93.2,81.6,88.4,-7.9,-1.6,-4.8,-1.7,3.5,1.2,1.8,3,3.5,,,,,,,,,,86.8
"2002",1319829,1177360,88.6,1.9,,2.3,,,0.8,84.5,0.9,76.7,3.2,86.7,,,,86.8,2.1,,104.7,110.8,162.9,105.8,97,100.8,98.5,83.5,92.5,12.4,-1.4,0.4,-2.4,0.9,5.2,5.7,2.3,4.6,,,,,,,,,,88.8
"2003",1371948,1225278,92.2,4.1,,3.9,,,6,89.6,6.9,82,4.1,90.2,,,,90.7,4.5,,101,110.1,154.6,105.3,98.8,105.6,103.4,87.8,95.5,-3.6,-0.6,-5.1,-0.5,1.8,4.7,4.9,5.2,3.3,,,,,,,,,,92.3
"2004",1415482,1262366,95,3,,3.2,,,3.8,92.9,4,85.3,2.3,92.3,,,,93.9,3.5,,100.1,110.9,142.5,107.3,100.3,106.9,108.8,90.8,98.9,-0.9,0.7,-7.8,1.9,1.5,1.2,5.2,3.4,3.6,,,,,,,,,,95.3
"2005",1461270,1307478,98.5,3.7,,3.2,,,5.6,98.1,7.6,91.8,5.1,97,,,,97.6,4,,106,110,132.1,107.1,100.1,111.9,106.2,95.6,99.6,5.9,-0.8,-7.3,-0.2,-0.2,4.7,-2.4,5.2,0.6,,,,,,,,,,98.4
"2006",1501528,1342966,101.1,2.7,,2.8,,,1.7,99.8,5.8,97.1,1.1,98,,,,100.6,3.1,,102.5,110.3,124.3,109,99.9,108.9,106.9,98.9,103.4,-3.3,0.2,-5.9,1.8,-0.2,-2.7,0.7,3.4,3.8,,,,,,,,,,101.1
"2007",1552989,1389907,104.7,3.5,,3.4,,,5.3,105.1,6.8,103.7,0.4,98.5,,,,104.3,3.6,,98.6,110.7,120.8,109.9,100.6,112.7,109.2,103.2,108.2,-3.8,0.4,-2.8,0.8,0.8,3.4,2.1,4.4,4.6,,,,,,,,,,104.5
"2008",1541039,1381998,104.1,-0.6,,-0.8,,,-0.4,104.6,0.9,104.6,0.9,99.3,,,,103.8,-0.5,,108.2,107.5,113.4,106.9,101.1,110.5,106.4,103.2,105.2,9.7,-2.9,-6.1,-2.8,0.5,-2,-2.5,0,-2.8,,,,,,,,,,103.7
"2009",1461361,1306896,98.4,-5.4,,-5.2,,,-7.2,97.1,-4.8,99.6,0.4,99.7,,,,98.2,-5.4,,100.7,97.2,102.5,96,96.2,101.3,92.3,99.2,99,-6.9,-9.5,-9.7,-10.2,-4.8,-8.3,-13.3,-3.9,-5.8,,,,,,,,,,98.4
"2010",1485616,1327924,100,1.6,,1.7,,,3,100,0.4,100,0.3,100,,,,100,1.8,,100,100,100,100,100,100,100,100,100,-0.7,2.8,-2.4,4.2,3.9,-1.3,8.3,0.8,1,,,,,,,,,,100
"2011",1502216,1343737,101.2,1.2,,1.1,,,1.6,101.6,2.5,102.5,0.5,100.5,,,,101.6,1.6,,110.6,98.8,85.2,101.8,94.1,104.1,102.3,101.5,100.7,10.6,-1.2,-14.8,1.8,-5.9,4.1,2.3,1.5,0.7,,,,,,,,,,101.1
"2012",1506388,1348704,101.3,0.1,,0.3,,,0,101.5,2.1,104.7,1.1,101.6,,,,102.1,0.6,,106.7,96.5,77.7,100.1,93.8,103.5,94,102.8,101.6,-3.5,-2.4,-8.7,-1.7,-0.3,-0.5,-8.1,1.3,0.9,,,,,,,,,,101.4
"2013",1532652,1372121,102.8,1.5,,1.7,,,1.6,103.2,2.1,106.9,0.6,102.2,,,,104.1,1.9,,102.4,96.1,75.8,99.3,94.1,108.6,95.6,104.7,105.2,-4.1,-0.4,-2.5,-0.8,0.3,4.9,1.7,1.9,3.5,,,,,,,,,,103.2
"1955 Q1",88041,77845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7
"1955 Q2",88222,77785,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
"1955 Q3",90045,79098,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
"1955 Q4",89550,78851,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
"1956 Q1",90179,79464,,,,,0.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
"1956 Q2",90000,79581,,,,,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
"1956 Q3",89894,79540,,,,,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
"1956 Q4",90344,79686,,,,,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
"1957 Q1",92153,81501,,,,,2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8
"1957 Q2",92179,81662,,,,,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8
"1957 Q3",91610,81034,,,,,-0.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
"1957 Q4",91703,81182,,,,,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
"1958 Q1",93267,82539,,,,,1.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
"1958 Q2",90930,80082,,,,,-2.5,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5
"1958 Q3",92912,82024,,,,,2.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
"1958 Q4",93063,82005,,,,,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
"1959 Q1",94311,83196,,,,,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4
"1959 Q2",95733,84085,,,,,1.5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8
"1959 Q3",97600,86023,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3
"1959 Q4",99882,87801,,,,,2.3,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9
"1960 Q1",102337,90150,,,,,2.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6
"1960 Q2",101333,89395,,,,,-1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
"1960 Q3",102840,90886,,,,,1.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7
"1960 Q4",103463,91534,,,,,0.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9
"1961 Q1",105217,92965,,,,,1.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3
"1961 Q2",105706,93407,,,,,0.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5
"1961 Q3",105235,93137,,,,,-0.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3
"1961 Q4",105152,93001,,,,,-0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3
"1962 Q1",105778,93824,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5
"1962 Q2",106867,94668,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8
"1962 Q3",107602,95269,,,,,0.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
"1962 Q4",107228,95033,,,,,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9
"1963 Q1",107463,95812,,,,,0.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9
"1963 Q2",112081,99599,,,,,4.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2
"1963 Q3",112666,99935,,,,,0.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3
"1963 Q4",115286,102493,,,,,2.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
"1964 Q1",116441,104158,,,,,1,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4
"1964 Q2",118248,105161,,,,,1.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
"1964 Q3",118606,105431,,,,,0.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9
"1964 Q4",120501,106881,,,,,1.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4
"1965 Q1",120352,107297,,,,,-0.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4
"1965 Q2",120743,108112,,,,,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5
"1965 Q3",122002,109004,,,,,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8
"1965 Q4",122978,109842,,,,,0.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1
"1966 Q1",123411,110093,,,,,0.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2
"1966 Q2",124293,110737,,,,,0.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
"1966 Q3",124877,111546,,,,,0.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6
"1966 Q4",124451,111148,,,,,-0.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
"1967 Q1",126249,112176,,,,,1.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
"1967 Q2",127907,113407,,,,,1.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
"1967 Q3",128267,113896,,,,,0.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5
"1967 Q4",128604,114302,,,,,0.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
"1968 Q1",132799,117765,,,,,3.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
"1968 Q2",131945,117691,,,,,-0.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5
"1968 Q3",134512,119692,,,,,1.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2
"1968 Q4",135119,119857,,,,,0.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4
"1969 Q1",135266,120460,,,,,0.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4
"1969 Q2",136446,121370,,,,,0.9,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7
"1969 Q3",137348,122140,,,,,0.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"1969 Q4",138133,123028,,,,,0.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2
"1970 Q1",137032,121901,,,,,-0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
"1970 Q2",140212,124621,,,,,2.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
"1970 Q3",141460,125221,,,,,0.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1
"1970 Q4",142470,127163,,,,,0.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4
"1971 Q1",141149,125866,,,,,-0.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
"1971 Q2",142919,127184,,,,,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5
"1971 Q3",145023,129061,,,,,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
"1971 Q4",145187,129510,,,,,0.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1
"1972 Q1",145418,129460,,,,,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2
"1972 Q2",149155,132601,,,,,2.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2
"1972 Q3",149614,133492,,,,,0.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3
"1972 Q4",152265,136049,,,,,1.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
"1973 Q1",160301,143195,,,,,5.3,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2
"1973 Q2",161042,144267,,,,,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4
"1973 Q3",159864,142972,,,,,-0.7,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"1973 Q4",159660,142808,,,,,-0.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"1974 Q1",155808,139578,,,,,-2.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
"1974 Q2",158820,142350,,,,,1.9,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8
"1974 Q3",160472,144356,,,,,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2
"1974 Q4",158581,142453,,,,,-1.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7
"1975 Q1",159100,142923,,,,,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8
"1975 Q2",156577,140836,,,,,-1.6,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2
"1975 Q3",156305,140277,,,,,-0.2,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1
"1975 Q4",158468,142448,,,,,1.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7
"1976 Q1",161161,144665,,,,,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4
"1976 Q2",159752,143263,,,,,-0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"1976 Q3",161201,144425,,,,,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4
"1976 Q4",164524,147127,,,,,2.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3
"1977 Q1",164902,148362,,,,,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4
"1977 Q2",164155,146838,,,,,-0.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2
"1977 Q3",165448,147781,,,,,0.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
"1977 Q4",167752,149652,,,,,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2
"1978 Q1",168530,150390,,,,,0.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4
"1978 Q2",170138,151303,,,,,1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8
"1978 Q3",171996,152927,,,,,1.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3
"1978 Q4",173318,154048,,,,,0.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7
